[16:44:18] Processing file resample_001.tab: 1/4 (25.0%) | Elapsed: 0s | ETA: 0s
[16:44:18] Processing file resample_002.tab: 2/4 (50.0%) | Elapsed: 0s | ETA: 0s
[16:44:18] Processing file resample_003.tab: 3/4 (75.0%) | Elapsed: 0s | ETA: 0s
[16:44:18] Processing file resample_004.tab: 4/4 (100.0%) | Elapsed: 0s | ETA: 0s
[16:47:54] Processing file resample_001.tab: 1/200 (0.5%) | Elapsed: 0s | ETA: 0s
[16:47:54] Processing file resample_002.tab: 2/200 (1.0%) | Elapsed: 0s | ETA: 5s
[16:47:54] Processing file resample_003.tab: 3/200 (1.5%) | Elapsed: 0s | ETA: 7s
[16:47:54] Processing file resample_004.tab: 4/200 (2.0%) | Elapsed: 0s | ETA: 8s
[16:47:54] Processing file resample_005.tab: 5/200 (2.5%) | Elapsed: 0s | ETA: 9s
[16:47:54] Processing file resample_006.tab: 6/200 (3.0%) | Elapsed: 0s | ETA: 9s
[16:47:54] Processing file resample_007.tab: 7/200 (3.5%) | Elapsed: 0s | ETA: 9s
[16:47:54] Processing file resample_008.tab: 8/200 (4.0%) | Elapsed: 0s | ETA: 9s
[16:47:54] Processing file resample_009.tab: 9/200 (4.5%) | Elapsed: 0s | ETA: 9s
[16:47:54] Processing file resample_010.tab: 10/200 (5.0%) | Elapsed: 0s | ETA: 9s
[16:47:54] Processing file resample_011.tab: 11/200 (5.5%) | Elapsed: 0s | ETA: 9s
[16:47:54] Processing file resample_012.tab: 12/200 (6.0%) | Elapsed: 0s | ETA: 9s
[16:47:54] Processing file resample_013.tab: 13/200 (6.5%) | Elapsed: 0s | ETA: 9s
[16:47:55] Processing file resample_014.tab: 14/200 (7.0%) | Elapsed: 0s | ETA: 9s
[16:47:55] Processing file resample_015.tab: 15/200 (7.5%) | Elapsed: 0s | ETA: 9s
[16:47:55] Processing file resample_016.tab: 16/200 (8.0%) | Elapsed: 0s | ETA: 9s
[16:47:55] Processing file resample_017.tab: 17/200 (8.5%) | Elapsed: 0s | ETA: 9s
[16:47:55] Processing file resample_018.tab: 18/200 (9.0%) | Elapsed: 0s | ETA: 9s
[16:47:55] Processing file resample_019.tab: 19/200 (9.5%) | Elapsed: 1s | ETA: 9s
[16:47:55] Processing file resample_020.tab: 20/200 (10.0%) | Elapsed: 1s | ETA: 9s
[16:47:55] Processing file resample_021.tab: 21/200 (10.5%) | Elapsed: 1s | ETA: 9s
[16:47:55] Processing file resample_022.tab: 22/200 (11.0%) | Elapsed: 1s | ETA: 9s
[16:47:55] Processing file resample_023.tab: 23/200 (11.5%) | Elapsed: 1s | ETA: 9s
[16:47:55] Processing file resample_024.tab: 24/200 (12.0%) | Elapsed: 1s | ETA: 9s
[16:47:55] Processing file resample_025.tab: 25/200 (12.5%) | Elapsed: 1s | ETA: 9s
[16:47:55] Processing file resample_026.tab: 26/200 (13.0%) | Elapsed: 1s | ETA: 9s
[16:47:55] Processing file resample_027.tab: 27/200 (13.5%) | Elapsed: 1s | ETA: 9s
